series,timestamp,value,label
RR,1970-01-01T00:00:00.000Z,716,
RR,1970-01-01T00:00:01.000Z,1432,
RR,1970-01-01T00:00:02.000Z,712,
RR,1970-01-01T00:00:03.000Z,756,
RR,1970-01-01T00:00:04.000Z,664,
RR,1970-01-01T00:00:05.000Z,716,
RR,1970-01-01T00:00:06.000Z,708,
RR,1970-01-01T00:00:07.000Z,704,
RR,1970-01-01T00:00:08.000Z,708,
RR,1970-01-01T00:00:09.000Z,708,
RR,1970-01-01T00:00:10.000Z,704,
RR,1970-01-01T00:00:11.000Z,716,
RR,1970-01-01T00:00:12.000Z,712,
RR,1970-01-01T00:00:13.000Z,720,
RR,1970-01-01T00:00:14.000Z,712,
RR,1970-01-01T00:00:15.000Z,712,
RR,1970-01-01T00:00:16.000Z,716,
RR,1970-01-01T00:00:17.000Z,716,
RR,1970-01-01T00:00:18.000Z,720,
RR,1970-01-01T00:00:19.000Z,712,
RR,1970-01-01T00:00:20.000Z,712,
RR,1970-01-01T00:00:21.000Z,720,
RR,1970-01-01T00:00:22.000Z,720,
RR,1970-01-01T00:00:23.000Z,712,
RR,1970-01-01T00:00:24.000Z,704,
RR,1970-01-01T00:00:25.000Z,756,spike
RR,1970-01-01T00:00:26.000Z,656,
RR,1970-01-01T00:00:27.000Z,696,
RR,1970-01-01T00:00:28.000Z,700,
RR,1970-01-01T00:00:29.000Z,696,
RR,1970-01-01T00:00:30.000Z,700,
RR,1970-01-01T00:00:31.000Z,696,
RR,1970-01-01T00:00:32.000Z,696,
RR,1970-01-01T00:00:33.000Z,744,
RR,1970-01-01T00:00:34.000Z,656,
RR,1970-01-01T00:00:35.000Z,1396,
RR,1970-01-01T00:00:36.000Z,704,
RR,1970-01-01T00:00:37.000Z,700,
RR,1970-01-01T00:00:38.000Z,700,
RR,1970-01-01T00:00:39.000Z,700,
RR,1970-01-01T00:00:40.000Z,716,
RR,1970-01-01T00:00:41.000Z,708,
RR,1970-01-01T00:00:42.000Z,708,
RR,1970-01-01T00:00:43.000Z,700,
RR,1970-01-01T00:00:44.000Z,712,
RR,1970-01-01T00:00:45.000Z,700,
RR,1970-01-01T00:00:46.000Z,700,
RR,1970-01-01T00:00:47.000Z,692,
RR,1970-01-01T00:00:48.000Z,1396,
RR,1970-01-01T00:00:49.000Z,692,
RR,1970-01-01T00:00:50.000Z,696,
RR,1970-01-01T00:00:51.000Z,704,
RR,1970-01-01T00:00:52.000Z,708,
RR,1970-01-01T00:00:53.000Z,744,
RR,1970-01-01T00:00:54.000Z,892,
RR,1970-01-01T00:00:55.000Z,480,
RR,1970-01-01T00:00:56.000Z,700,
RR,1970-01-01T00:00:57.000Z,700,
RR,1970-01-01T00:00:58.000Z,120,
RR,1970-01-01T00:00:59.000Z,592,
RR,1970-01-01T00:01:00.000Z,408,
RR,1970-01-01T00:01:01.000Z,296,
RR,1970-01-01T00:01:02.000Z,704,
RR,1970-01-01T00:01:03.000Z,752,
RR,1970-01-01T00:01:04.000Z,708,
RR,1970-01-01T00:01:05.000Z,712,
RR,1970-01-01T00:01:06.000Z,1408,
RR,1970-01-01T00:01:07.000Z,1412,
RR,1970-01-01T00:01:08.000Z,664,
RR,1970-01-01T00:01:09.000Z,700,
RR,1970-01-01T00:01:10.000Z,740,
RR,1970-01-01T00:01:11.000Z,652,
RR,1970-01-01T00:01:12.000Z,696,
RR,1970-01-01T00:01:13.000Z,692,
RR,1970-01-01T00:01:14.000Z,696,
RR,1970-01-01T00:01:15.000Z,744,spike
RR,1970-01-01T00:01:16.000Z,648,
RR,1970-01-01T00:01:17.000Z,692,
RR,1970-01-01T00:01:18.000Z,700,
RR,1970-01-01T00:01:19.000Z,692,
RR,1970-01-01T00:01:20.000Z,700,
RR,1970-01-01T00:01:21.000Z,688,
RR,1970-01-01T00:01:22.000Z,704,
RR,1970-01-01T00:01:23.000Z,700,
RR,1970-01-01T00:01:24.000Z,708,
RR,1970-01-01T00:01:25.000Z,744,spike
RR,1970-01-01T00:01:26.000Z,668,
RR,1970-01-01T00:01:27.000Z,716,
RR,1970-01-01T00:01:28.000Z,716,
RR,1970-01-01T00:01:29.000Z,720,
RR,1970-01-01T00:01:30.000Z,712,
RR,1970-01-01T00:01:31.000Z,720,
RR,1970-01-01T00:01:32.000Z,720,
RR,1970-01-01T00:01:33.000Z,712,
RR,1970-01-01T00:01:34.000Z,716,
RR,1970-01-01T00:01:35.000Z,704,
RR,1970-01-01T00:01:36.000Z,708,
RR,1970-01-01T00:01:37.000Z,752,
RR,1970-01-01T00:01:38.000Z,656,
RR,1970-01-01T00:01:39.000Z,748,
RR,1970-01-01T00:01:40.000Z,656,
RR,1970-01-01T00:01:41.000Z,700,
RR,1970-01-01T00:01:42.000Z,704,
RR,1970-01-01T00:01:43.000Z,704,
RR,1970-01-01T00:01:44.000Z,704,
RR,1970-01-01T00:01:45.000Z,696,
RR,1970-01-01T00:01:46.000Z,696,
RR,1970-01-01T00:01:47.000Z,744,
RR,1970-01-01T00:01:48.000Z,652,
RR,1970-01-01T00:01:49.000Z,732,
RR,1970-01-01T00:01:50.000Z,652,
RR,1970-01-01T00:01:51.000Z,688,
RR,1970-01-01T00:01:52.000Z,700,
RR,1970-01-01T00:01:53.000Z,688,
RR,1970-01-01T00:01:54.000Z,692,
RR,1970-01-01T00:01:55.000Z,692,
RR,1970-01-01T00:01:56.000Z,696,
RR,1970-01-01T00:01:57.000Z,692,
RR,1970-01-01T00:01:58.000Z,684,
RR,1970-01-01T00:01:59.000Z,696,
RR,1970-01-01T00:02:00.000Z,744,
RR,1970-01-01T00:02:01.000Z,652,
RR,1970-01-01T00:02:02.000Z,740,
RR,1970-01-01T00:02:03.000Z,664,
RR,1970-01-01T00:02:04.000Z,708,
RR,1970-01-01T00:02:05.000Z,708,
RR,1970-01-01T00:02:06.000Z,708,
RR,1970-01-01T00:02:07.000Z,716,
RR,1970-01-01T00:02:08.000Z,1468,
RR,1970-01-01T00:02:09.000Z,672,
RR,1970-01-01T00:02:10.000Z,712,
RR,1970-01-01T00:02:11.000Z,704,
RR,1970-01-01T00:02:12.000Z,748,spike
RR,1970-01-01T00:02:13.000Z,656,
RR,1970-01-01T00:02:14.000Z,708,
RR,1970-01-01T00:02:15.000Z,700,
RR,1970-01-01T00:02:16.000Z,740,spike
RR,1970-01-01T00:02:17.000Z,656,
RR,1970-01-01T00:02:18.000Z,704,
RR,1970-01-01T00:02:19.000Z,704,
RR,1970-01-01T00:02:20.000Z,696,
RR,1970-01-01T00:02:21.000Z,704,
RR,1970-01-01T00:02:22.000Z,700,
RR,1970-01-01T00:02:23.000Z,692,
RR,1970-01-01T00:02:24.000Z,1056,
RR,1970-01-01T00:02:25.000Z,336,
RR,1970-01-01T00:02:26.000Z,2788,
