series,timestamp,value,label
RR,1970-01-01T00:00:00.000Z,992,
markup,1970-01-01T00:00:00.000Z,0,
markup,1970-01-01T00:00:01.000Z,0,
RR,1970-01-01T00:00:01.000Z,368,
RR,1970-01-01T00:00:02.000Z,636,
markup,1970-01-01T00:00:02.000Z,0,
RR,1970-01-01T00:00:03.000Z,1000,
markup,1970-01-01T00:00:03.000Z,0,
RR,1970-01-01T00:00:04.000Z,984,
markup,1970-01-01T00:00:04.000Z,0,
markup,1970-01-01T00:00:05.000Z,0,
RR,1970-01-01T00:00:05.000Z,980,
markup,1970-01-01T00:00:06.000Z,0,
RR,1970-01-01T00:00:06.000Z,996,
markup,1970-01-01T00:00:07.000Z,0,
RR,1970-01-01T00:00:07.000Z,916,
markup,1970-01-01T00:00:08.000Z,0,
RR,1970-01-01T00:00:08.000Z,1024,
markup,1970-01-01T00:00:09.000Z,0,
RR,1970-01-01T00:00:09.000Z,984,
markup,1970-01-01T00:00:10.000Z,0,
RR,1970-01-01T00:00:10.000Z,1004,
markup,1970-01-01T00:00:11.000Z,0,
RR,1970-01-01T00:00:11.000Z,996,
RR,1970-01-01T00:00:12.000Z,980,
markup,1970-01-01T00:00:12.000Z,0,
RR,1970-01-01T00:00:13.000Z,1004,
markup,1970-01-01T00:00:13.000Z,0,
markup,1970-01-01T00:00:14.000Z,0,
RR,1970-01-01T00:00:14.000Z,1008,
markup,1970-01-01T00:00:15.000Z,0,
RR,1970-01-01T00:00:15.000Z,984,
RR,1970-01-01T00:00:16.000Z,1000,
markup,1970-01-01T00:00:16.000Z,0,
markup,1970-01-01T00:00:17.000Z,0,
RR,1970-01-01T00:00:17.000Z,1012,
RR,1970-01-01T00:00:18.000Z,952,
markup,1970-01-01T00:00:18.000Z,0,
markup,1970-01-01T00:00:19.000Z,0,
RR,1970-01-01T00:00:19.000Z,1040,
RR,1970-01-01T00:00:20.000Z,1008,
markup,1970-01-01T00:00:20.000Z,0,
markup,1970-01-01T00:00:21.000Z,0,
RR,1970-01-01T00:00:21.000Z,1016,
RR,1970-01-01T00:00:22.000Z,1000,
markup,1970-01-01T00:00:22.000Z,0,
markup,1970-01-01T00:00:23.000Z,0,
RR,1970-01-01T00:00:23.000Z,1012,
RR,1970-01-01T00:00:24.000Z,980,
markup,1970-01-01T00:00:24.000Z,0,
RR,1970-01-01T00:00:25.000Z,1004,
markup,1970-01-01T00:00:25.000Z,0,
RR,1970-01-01T00:00:26.000Z,1016,
